2020-11-29T12:22:52.861Z: info - Request: GET /fonts/roboto-v19-latin-300italic.woff2
2020-11-29T12:22:52.865Z: info - Serving file '../../../website/public/fonts/roboto-v19-latin-300italic.woff2'...
2020-11-29T12:22:52.869Z: info - Request: GET /fonts/roboto-mono-v6-latin-regular.woff2
2020-11-29T12:22:52.871Z: info - Serving file '../../../website/public/fonts/roboto-mono-v6-latin-regular.woff2'...
2020-11-29T12:22:52.872Z: info - Request: GET /docs/1-getting-started/images/cygwin-1.png
2020-11-29T12:22:52.873Z: info - Serving file '../../../website/public/docs/1-getting-started/images/cygwin-1.png'...
2020-11-29T12:22:52.876Z: info - Request: GET /docs/1-getting-started/images/cygwin-2.png
2020-11-29T12:22:52.876Z: info - Serving file '../../../website/public/docs/1-getting-started/images/cygwin-2.png'...
2020-11-29T12:22:52.877Z: info - Request: GET /docs/1-getting-started/images/cygwin-3.png
2020-11-29T12:22:52.878Z: info - Serving file '../../../website/public/docs/1-getting-started/images/cygwin-3.png'...
2020-11-29T12:22:52.880Z: info - Request: GET /docs/1-getting-started/images/cygwin-6.png
2020-11-29T12:22:52.881Z: info - Serving file '../../../website/public/docs/1-getting-started/images/cygwin-6.png'...
2020-11-29T12:22:52.881Z: info - Request: GET /docs/1-getting-started/images/cygwin-7.png
2020-11-29T12:22:52.883Z: info - Serving file '../../../website/public/docs/1-getting-started/images/cygwin-7.png'...
2020-11-29T12:22:52.885Z: info - Request: GET /docs/1-getting-started/images/cygwin-8.png
2020-11-29T12:22:52.887Z: info - Request: GET /docs/1-getting-started/images/ubuntu-1.png
2020-11-29T12:22:52.888Z: info - Serving file '../../../website/public/docs/1-getting-started/images/ubuntu-1.png'...
2020-11-29T12:22:52.891Z: info - Serving file '../../../website/public/docs/1-getting-started/images/ubuntu-1.png'...
2020-11-29T12:22:52.892Z: info - Request: GET /docs/1-getting-started/images/virtualbox-1.png
2020-11-29T12:22:52.897Z: info - Serving file '../../../website/public/docs/1-getting-started/images/virtualbox-1.png'...
2020-11-29T12:22:52.902Z: info - Request: GET /docs/1-getting-started/images/virtualbox-2.png
2020-11-29T12:22:52.903Z: info - Request: GET /docs/1-getting-started/images/virtualbox-3.png
2020-11-29T12:22:52.907Z: info - Serving file '../../../website/public/docs/1-getting-started/images/virtualbox-3.png'...
2020-11-29T12:22:52.908Z: info - Serving file '../../../website/public/docs/1-getting-started/images/virtualbox-3.png'...
2020-11-29T12:22:52.911Z: info - Request: GET /docs/1-getting-started/images/virtualbox-4.png
2020-11-29T12:22:52.911Z: info - Serving file '../../../website/public/docs/1-getting-started/images/virtualbox-4.png'...
2020-11-29T12:22:52.912Z: info - Request: GET /docs/1-getting-started/images/setup-ubuntu-1.png
2020-11-29T12:22:52.914Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-ubuntu-1.png'...
2020-11-29T12:22:52.916Z: info - Request: GET /docs/1-getting-started/images/setup-ubuntu-2.png
2020-11-29T12:22:52.918Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-ubuntu-2.png'...
2020-11-29T12:22:52.922Z: info - Request: GET /docs/1-getting-started/images/setup-ubuntu-3.png
2020-11-29T12:22:52.924Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-ubuntu-3.png'...
2020-11-29T12:22:52.927Z: info - Request: GET /docs/1-getting-started/images/setup-ubuntu-4.png
2020-11-29T12:22:52.928Z: info - Request: GET /docs/1-getting-started/images/setup-ubuntu-5.png
2020-11-29T12:22:52.930Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-ubuntu-5.png'...
2020-11-29T12:22:52.931Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-ubuntu-5.png'...
2020-11-29T12:22:52.932Z: info - Request: GET /docs/1-getting-started/images/setup-ubuntu-6.png
2020-11-29T12:22:52.933Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-ubuntu-6.png'...
2020-11-29T12:22:52.937Z: info - Request: GET /docs/1-getting-started/images/setup-ubuntu-7.png
2020-11-29T12:22:52.939Z: info - Request: GET /docs/1-getting-started/images/setup-ubuntu-8.png
2020-11-29T12:22:52.940Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-ubuntu-8.png'...
2020-11-29T12:22:52.940Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-ubuntu-8.png'...
2020-11-29T12:22:52.945Z: info - Request: GET /docs/1-getting-started/images/setup-ubuntu-9.png
2020-11-29T12:22:52.947Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-ubuntu-9.png'...
2020-11-29T12:22:52.954Z: info - Request: GET /docs/1-getting-started/images/setup-ubuntu-11.png
2020-11-29T12:22:52.955Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-ubuntu-11.png'...
2020-11-29T12:22:52.972Z: info - Request: GET /docs/1-getting-started/images/setup-wsl-1.png
2020-11-29T12:22:52.973Z: info - Request: GET /docs/1-getting-started/images/setup-wsl-2.png
2020-11-29T12:22:52.974Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-wsl-2.png'...
2020-11-29T12:22:52.975Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-wsl-2.png'...
2020-11-29T12:22:52.976Z: info - Request: GET /docs/1-getting-started/images/setup-wsl-3.png
